transaction_id,booking_date,value_date,description,credit_usd,debit_usd,running_balance_usd
TXN-2026-BANK-069,2026-07-14,2026-07-14,Customer Wire Payment Recv #069,322500.00,0.00,44495600.00
TXN-2026-BANK-070,2026-07-15,2026-07-15,Vendor Clearing Payout #070,0.00,129000.00,44366600.00
TXN-2026-BANK-071,2026-07-16,2026-07-16,Vendor Clearing Payout #071,0.00,130200.00,44236400.00
TXN-2026-BANK-072,2026-07-17,2026-07-17,Customer Wire Payment Recv #072,330000.00,0.00,44566400.00
TXN-2026-BANK-073,2026-07-18,2026-07-18,Vendor Clearing Payout #073,0.00,132600.00,44433800.00
TXN-2026-BANK-074,2026-07-19,2026-07-19,Vendor Clearing Payout #074,0.00,133800.00,44300000.00
TXN-2026-BANK-075,2026-07-20,2026-07-20,Customer Wire Payment Recv #075,337500.00,0.00,44637500.00
TXN-2026-BANK-076,2026-07-21,2026-07-21,Vendor Clearing Payout #076,0.00,136200.00,44501300.00
TXN-2026-BANK-077,2026-07-22,2026-07-22,Vendor Clearing Payout #077,0.00,137400.00,44363900.00
TXN-2026-BANK-078,2026-07-23,2026-07-23,Customer Wire Payment Recv #078,345000.00,0.00,44708900.00
TXN-2026-BANK-079,2026-07-24,2026-07-24,Vendor Clearing Payout #079,0.00,139800.00,44569100.00
TXN-2026-BANK-080,2026-07-25,2026-07-25,Vendor Clearing Payout #080,0.00,141000.00,44428100.00
TXN-2026-BANK-081,2026-07-26,2026-07-26,Customer Wire Payment Recv #081,352500.00,0.00,44780600.00
TXN-2026-BANK-082,2026-07-27,2026-07-27,Vendor Clearing Payout #082,0.00,143400.00,44637200.00
TXN-2026-BANK-083,2026-07-28,2026-07-28,Vendor Clearing Payout #083,0.00,144600.00,44492600.00
TXN-2026-BANK-084,2026-07-01,2026-07-01,Customer Wire Payment Recv #084,360000.00,0.00,44852600.00
TXN-2026-BANK-085,2026-07-02,2026-07-02,Vendor Clearing Payout #085,0.00,147000.00,44705600.00
TXN-2026-BANK-086,2026-07-03,2026-07-03,Vendor Clearing Payout #086,0.00,148200.00,44557400.00
TXN-2026-BANK-087,2026-07-04,2026-07-04,Customer Wire Payment Recv #087,367500.00,0.00,44924900.00
TXN-2026-BANK-088,2026-07-05,2026-07-05,Vendor Clearing Payout #088,0.00,150600.00,44774300.00
TXN-2026-BANK-089,2026-07-06,2026-07-06,Vendor Clearing Payout #089,0.00,151800.00,44622500.00
TXN-2026-BANK-090,2026-07-07,2026-07-07,Customer Wire Payment Recv #090,375000.00,0.00,44997500.00
TXN-2026-BANK-091,2026-07-08,2026-07-08,Vendor Clearing Payout #091,0.00,154200.00,44843300.00
TXN-2026-BANK-092,2026-07-09,2026-07-09,Vendor Clearing Payout #092,0.00,155400.00,44687900.00
TXN-2026-BANK-093,2026-07-10,2026-07-10,Customer Wire Payment Recv #093,382500.00,0.00,45070400.00
TXN-2026-BANK-094,2026-07-11,2026-07-11,Vendor Clearing Payout #094,0.00,157800.00,44912600.00
TXN-2026-BANK-095,2026-07-12,2026-07-12,Vendor Clearing Payout #095,0.00,159000.00,44753600.00
TXN-2026-BANK-096,2026-07-13,2026-07-13,Customer Wire Payment Recv #096,390000.00,0.00,45143600.00
TXN-2026-BANK-097,2026-07-14,2026-07-14,Vendor Clearing Payout #097,0.00,161400.00,44982200.00
TXN-2026-BANK-098,2026-07-15,2026-07-15,Vendor Clearing Payout #098,0.00,162600.00,44819600.00
TXN-2026-BANK-099,2026-07-16,2026-07-16,Customer Wire Payment Recv #099,397500.00,0.00,45217100.00
TXN-2026-BANK-100,2026-07-17,2026-07-17,Vendor Clearing Payout #100,0.00,165000.00,45052100.00
